City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
205,Lazaro Cardenas,17.96,-102.2,87.48,63,0,9.55,Clear,2020-08-02 19:02:48
206,Pijijiapan,15.7,-93.23,90.57,61,2,7.18,Rain,2020-08-02 19:09:34
207,Zabaykalsk,49.63,117.32,58.28,84,0,4.76,Clear,2020-08-02 19:09:34
208,Andenes,69.31,16.12,60.8,82,0,13.87,Clear,2020-08-02 19:01:25
209,Zharkent,44.16,80.0,70.81,44,2,1.81,Clear,2020-08-02 19:03:40
210,Batemans Bay,-35.72,150.18,39.99,91,100,1.01,Clouds,2020-08-02 19:09:34
211,Jardim,-21.48,-56.14,89.89,25,0,7.83,Clear,2020-08-02 19:09:34
212,Komsomolskiy,40.43,71.72,77.0,41,0,6.93,Clear,2020-08-02 19:07:52
213,Faya,18.39,42.45,68.0,77,20,3.36,Clouds,2020-08-02 19:01:10
214,Ryotsu,38.08,138.43,71.6,94,100,1.12,Clouds,2020-08-02 19:09:35
215,Canatlan,24.52,-104.78,75.2,47,75,6.93,Clouds,2020-08-02 19:08:36
216,Gangapur,26.48,76.72,87.84,62,0,11.5,Clear,2020-08-02 19:09:35
217,Les Cayes,18.2,-73.75,85.19,71,100,9.75,Clouds,2020-08-02 19:09:35
218,Tokat,40.42,36.58,50.76,100,31,4.76,Clouds,2020-08-02 19:09:35
219,Mahajanga,-15.72,46.32,75.49,54,0,20.31,Clear,2020-08-02 19:08:00
220,Lompoc,34.64,-120.46,66.2,72,0,12.75,Clear,2020-08-02 19:07:26
221,Saint-Louis,16.33,-15.0,98.6,44,0,2.24,Clear,2020-08-02 19:09:36
222,Inhambane,-23.86,35.38,69.8,60,75,2.24,Clouds,2020-08-02 19:07:47
223,Khatanga,71.97,102.5,58.98,80,8,5.59,Clear,2020-08-02 19:07:29
224,Barahona,18.21,-71.1,89.6,62,20,18.34,Clouds,2020-08-02 19:09:36
225,San Jeronimo,-11.95,-75.28,66.97,23,0,2.71,Clear,2020-08-02 19:09:36
226,Kavieng,-2.57,150.8,82.06,76,0,4.74,Clear,2020-08-02 19:07:42
227,Garden City,42.33,-83.33,73.4,78,90,16.11,Rain,2020-08-02 19:09:36
228,East London,-33.02,27.91,72.57,22,0,8.46,Clear,2020-08-02 19:07:20
229,Kolondieba,11.09,-6.89,76.5,90,15,5.08,Rain,2020-08-02 19:09:36
230,Luderitz,-26.65,15.16,73.4,31,0,1.12,Clear,2020-08-02 19:08:11
231,Taltal,-25.4,-70.48,65.86,54,22,5.79,Clouds,2020-08-02 19:00:37
232,Codrington,-38.27,141.97,42.06,88,51,9.04,Clouds,2020-08-02 19:07:38
233,Karak,31.17,35.75,78.8,47,0,10.29,Clear,2020-08-02 19:09:37
234,Myaundzha,63.05,147.19,50.25,73,77,2.01,Clouds,2020-08-02 19:09:37
235,Dingle,11.0,122.67,76.53,83,100,4.0,Clouds,2020-08-02 19:07:39
236,Shimoda,34.67,138.95,68.0,94,17,1.54,Clouds,2020-08-02 19:07:43
237,Sambava,-14.27,50.17,72.36,82,99,20.13,Rain,2020-08-02 19:08:40
238,Atasu,48.68,71.64,73.69,48,2,11.86,Clear,2020-08-02 19:01:46
239,Naze,28.37,129.48,77.0,94,40,3.36,Mist,2020-08-02 19:08:05
240,Muravlenko,63.79,74.52,62.6,68,6,10.47,Clear,2020-08-02 19:09:37
241,Callaguip,18.07,120.49,80.6,83,90,2.24,Rain,2020-08-02 19:09:38
242,Katsuura,35.13,140.3,75.2,94,20,5.82,Clouds,2020-08-02 19:07:50
243,Port Blair,11.67,92.75,82.58,80,100,25.57,Rain,2020-08-02 19:07:22
244,Marsh Harbour,26.54,-77.06,83.73,78,100,26.33,Rain,2020-08-02 19:05:17
245,Vaitape,-16.52,-151.75,79.3,78,83,12.97,Clouds,2020-08-02 19:01:40
246,Constitucion,-35.33,-72.42,60.12,75,1,5.32,Clear,2020-08-02 19:07:57
247,Kirakira,-10.45,161.92,78.57,80,80,4.97,Clouds,2020-08-02 19:07:53
248,Nuevo Progreso,23.17,-97.95,91.0,54,1,4.0,Clear,2020-08-02 19:09:39
249,Raudeberg,61.99,5.14,55.4,87,75,8.05,Rain,2020-08-02 19:00:42
250,Solomenskoye,44.22,44.35,62.98,94,100,9.69,Rain,2020-08-02 19:09:39
251,Huilong,31.81,121.66,84.99,78,99,1.01,Clouds,2020-08-02 19:09:39
252,San Quintin,30.48,-115.95,80.29,53,0,8.39,Clear,2020-08-02 19:08:05
253,San Rafael,-34.62,-68.33,60.93,32,0,7.61,Clear,2020-08-02 19:06:34
254,Hinton,53.4,-117.59,81.0,47,23,4.23,Clouds,2020-08-02 19:09:39
255,Labuhan,-6.88,112.21,75.04,80,80,8.88,Clouds,2020-08-02 19:09:39
256,Leningradskiy,69.38,178.42,37.4,90,100,8.55,Clouds,2020-08-02 19:08:16
257,Nichinan,31.6,131.37,75.63,86,45,4.7,Clouds,2020-08-02 19:09:40
258,Yichang,30.71,111.28,81.0,79,100,1.3,Clouds,2020-08-02 19:09:40
259,Kitimat,54.05,-128.65,60.8,93,90,0.81,Rain,2020-08-02 19:08:08
